instancia_id,token_id,token,punt_inicial,punt_final,capitalización,indice_oracion,i_punt_inicial,i_punt_final,i_puntuacion,dim_red_0,dim_red_1,dim_red_2,dim_red_3,dim_red_4
1,63045,perde,¿,,1,0,1,0,1,5.6274147,1.3524175,5.87007,3.6086717,1.8673321
1,13386,##mos,,,1,1,0,0,0,-5.459648,6.47635,3.3449118,14.3721075,4.588548
1,183,o,,,0,2,0,0,0,7.8524394,-3.2938895,22.585035,9.842085,16.764797
1,62330,gana,,,0,3,0,0,0,5.6675363,1.3859184,5.8010035,3.6119301,1.8511053
1,13386,##mos,,?,0,4,0,2,2,-5.4813027,6.477384,3.3396153,14.357093,4.5719676
2,12132,mi,,,1,0,0,0,0,6.249952,-15.06739,10.467953,-1.6831551,-1.1911004
2,41609,corazón,,,0,1,0,0,0,6.702229,1.9527099,6.2964163,4.183382,1.5837332
2,10196,es,,,0,2,0,0,0,7.860607,2.8969996,-1.7305492,22.307022,3.7367353
2,22536,siempre,,,0,3,0,0,0,7.957472,2.4327242,5.3933105,2.9608316,0.74441826
2,28491,joven,,.,0,4,0,3,3,7.7742286,1.7986041,6.0033145,3.9918072,2.3254497
3,12368,cuando,,,1,0,0,0,0,7.584146,1.7724379,5.455081,1.635642,-1.0769368
3,14572,hag,,,0,1,0,0,0,8.548379,10.196305,7.100949,0.7388839,2.674601
3,10133,##o,,,0,2,0,0,0,-5.3326755,6.082536,3.9892766,14.309548,4.853011
3,10109,la,,,0,3,0,0,0,13.103813,8.954334,-6.001353,-3.7133002,8.61116
3,104950,pregunta,,,0,4,0,0,0,6.9661064,1.4627863,6.139143,4.3238597,2.0494974
3,193,y,,,0,5,0,0,0,27.964006,13.100183,11.728131,9.57768,7.3861604
3,10212,com,,,0,6,0,0,0,5.497103,-15.676885,10.946561,-2.0949473,-1.3164295
3,58775,##paro,,,0,7,0,0,0,-1.79052,4.426044,5.7136135,16.640598,6.157179
3,10285,las,,,0,8,0,0,0,6.4353,-10.208972,-1.1144422,-9.7062435,7.4894943
3,10398,dos,,,0,9,0,0,0,6.839887,1.7127221,6.0254526,3.2947836,1.2643205
3,97596,fechas,,,0,10,0,0,0,6.995861,3.1433084,6.0804253,5.694084,1.0370408
3,10121,que,,,0,11,0,0,0,8.677771,-9.80892,-8.366473,-0.34499037,3.1032484
3,10110,en,,,0,12,0,0,0,-4.18074,16.075315,8.788759,-7.5645933,2.7601438
3,10425,##ca,,,0,13,0,0,0,-4.2871466,6.024978,4.459427,13.983587,5.0727763
3,11044,##be,,,0,14,0,0,0,-1.3298928,5.9596176,6.772273,13.806749,6.386451
3,23232,##zan,,,0,15,0,0,0,-2.1308873,6.251906,8.2329855,15.50484,7.003874
3,10547,este,,,0,16,0,0,0,7.646615,2.7614105,4.669998,2.0824666,2.9103177
3,41249,artículo,,",",0,17,0,4,4,6.9813247,2.3344104,6.3544064,4.5554047,1.6575322
3,81886,acu,,,0,18,0,0,0,5.6571546,-15.792494,10.942368,-2.0097213,-0.9216585
3,10633,##den,,,0,19,0,0,0,-2.376375,6.2377625,7.9449377,15.547114,7.2445273
3,169,a,,,0,20,0,0,0,7.952442,-3.4008925,22.577087,9.949062,16.898401
3,12132,mi,,,0,21,0,0,0,6.2333913,-15.088843,10.481052,-1.7001942,-1.2046195
3,29071,mente,,,0,22,0,0,0,6.8328013,1.8359696,6.1084285,3.7755265,1.681339
3,10106,in,,,0,23,0,0,0,-3.7581856,15.722431,9.025562,-7.570244,2.7782745
3,46607,##fini,,,0,24,0,0,0,-1.7079705,5.3706255,7.656443,15.9091015,6.8734455
3,13318,##tos,,,0,25,0,0,0,-4.988942,6.511427,3.5943737,14.38839,4.764445
3,11639,re,,,0,26,0,0,0,6.02285,-15.229949,10.603419,-1.7976671,-1.2399865
3,84149,##cuerdo,,,0,27,0,0,0,6.3648396,1.9759563,6.167844,4.315333,1.6633714
3,10107,##s,,,0,28,0,0,0,-4.818125,4.759707,12.5067425,14.644342,7.020034
3,10104,de,,,0,29,0,0,0,3.4829495,-9.432962,32.880234,-7.131554,4.6009607
3,55824,hechos,,,0,30,0,0,0,8.379716,0.99639636,5.2553096,3.0765238,0.4683608
3,10121,que,,,0,31,0,0,0,8.793763,-9.809526,-8.441271,-0.3487516,3.1020496
3,10261,he,,,0,32,0,0,0,-3.122181,15.561771,9.425891,-7.6545167,2.8616152
3,27111,presencia,,,0,33,0,0,0,6.4974813,1.4327818,5.772388,4.2254257,1.8188047
3,10317,##do,,,0,34,0,0,0,-1.7085474,4.4094234,5.5834365,16.746504,6.1518517
3,10110,en,,,0,35,0,0,0,-4.175348,16.04846,8.8077965,-7.4839697,2.7925785
3,10125,el,,,0,36,0,0,0,5.900425,22.700817,9.798005,3.1842058,4.6461015
3,28743,espacio,,,0,37,0,0,0,6.984386,2.3747575,6.3276625,4.697908,1.5011749
3,10104,de,,,0,38,0,0,0,3.4701405,-9.2583275,32.969734,-7.090108,4.565748
3,88531,cincuenta,,,0,39,0,0,0,7.0988927,2.1973963,5.994593,3.5801692,1.7355901
3,11278,años,,,0,40,0,0,0,7.056422,3.2407324,6.092479,5.7965565,0.9711937
3,193,y,,,0,41,0,0,0,27.927952,13.105809,11.735526,9.566658,7.4013186
3,26044,ven,,,0,42,0,0,0,5.625761,-15.626465,11.043742,-2.1485941,-1.0452147
3,10797,##go,,,0,43,0,0,0,-4.7953463,6.0258417,4.2782483,14.17592,4.9799085
3,169,a,,,0,44,0,0,0,7.986692,-3.4235523,22.554825,9.971654,16.928373
