instancia_id,token_id,token,punt_inicial,punt_final,capitalización,es_inicio_instancia,es_fin_instancia,es_primer_token,es_ultimo_token,i_punt_inicial,i_punt_final,dim_red_0,dim_red_1,dim_red_2,dim_red_3,dim_red_4,dim_red_5,dim_red_6,dim_red_7,dim_red_8,dim_red_9,dim_red_10,dim_red_11,dim_red_12,dim_red_13,dim_red_14
1,63045,perde,¿,,1,1,0,1,0,1,0,2.9084177,4.7851367,5.815852,6.234162,4.148967,5.1008835,5.8673754,3.0558138,4.5739756,4.0300922,5.3254504,4.547347,4.8553705,2.1052873,5.316081
1,13386,##mos,,,1,0,0,0,1,0,0,6.3970137,0.7047377,7.372228,8.285901,4.140561,4.9125648,2.0951276,5.996719,4.9661517,9.586587,3.4568174,-0.81045336,-2.7148018,6.195612,2.003147
1,183,o,,,0,0,0,1,1,0,0,-4.7277074,10.133118,5.734351,1.9981683,8.549312,6.019483,2.5720775,0.58516014,2.376934,1.943366,4.66073,7.660714,5.629352,10.848858,4.949658
1,62330,gana,,,0,0,0,1,0,0,0,3.8799052,5.555658,5.587199,6.581185,4.137992,5.0867443,6.782796,3.421569,4.449882,3.1178257,5.0039916,4.006815,4.5282946,2.52368,4.4745555
1,13386,##mos,,?,0,0,1,0,1,0,2,6.396014,0.7038268,7.371226,8.2869005,4.1395645,4.913555,2.0941586,5.995758,4.965178,9.585585,3.4558463,-0.80946195,-2.7137825,6.196592,2.0041568
2,12132,mi,,,1,1,0,1,1,0,0,1.3415872,4.637954,3.9701536,-0.39977998,-1.7678257,6.9569845,2.9135795,3.7603073,11.208943,5.298251,5.4074206,8.561085,6.5791917,7.87667,7.7012553
2,41609,corazón,,,0,0,0,1,1,0,0,3.826943,4.2435646,2.7118711,8.347516,9.826388,1.1325643,5.0744095,4.284617,2.559456,5.9103546,1.2712487,4.782022,3.035314,2.447523,6.3243427
2,10196,es,,,0,0,0,1,1,0,0,5.118333,5.230071,6.276118,3.7547445,12.446101,4.918079,5.0230412,3.1875901,6.51255,0.7005563,3.667994,3.9186516,6.357325,-2.534031,11.237033
2,22536,siempre,,,0,0,0,1,1,0,0,11.532379,9.617182,9.271488,-1.2569525,4.203514,3.901593,3.9962556,1.7492684,1.4431952,6.369263,4.7103524,4.160202,5.6076837,5.3178587,5.259369
2,28491,joven,,.,0,0,1,1,1,0,3,1.370148,4.05811,2.6711295,8.783219,5.2644086,7.137787,6.0429797,3.8050306,4.3985763,5.608979,2.0918396,4.5815325,4.425706,4.0017133,5.3436036
