instancia_id,token_id,token,punt_inicial,punt_final,capitalización,i_punt_inicial,i_punt_final,dim_red_0,dim_red_1,dim_red_2,dim_red_3,dim_red_4
101,169,a,,,3,0,0,1.5860976,8.33708,-1.1939043,-2.3935812,-6.0951056
101,10285,las,,,0,0,0,9.546415,3.7845657,-5.2923126,-1.3527561,-1.9562849
101,33249,diez,,,0,0,0,1.0831133,3.7858837,0.57254887,0.82816774,2.156098
101,10104,de,,,0,0,0,9.131214,1.9336872,1.5122159,14.59097,-0.9507669
101,10109,la,,,0,0,0,5.12331,10.785117,12.715818,6.940819,1.3057511
101,29190,noche,,,0,0,0,7.2610435,0.3302431,10.742596,-0.8225639,10.955462
101,10126,se,,,0,0,0,-3.6177247,-4.824371,4.6174974,5.2953086,-2.7425482
101,10173,con,,,0,0,0,2.0998163,4.96593,-2.6928911,14.237432,3.7290223
101,78225,##clu,,,0,0,0,2.966118,3.833742,8.484931,10.044735,-3.5510747
101,10836,##ía,,,0,0,0,9.27483,4.531133,11.445265,13.274555,4.7740073
101,11504,esta,,,0,0,0,3.3389192,12.849262,9.755256,8.943572,12.047582
101,12718,ter,,,0,0,0,8.817851,2.7205133,1.4410198,14.098407,-1.2710828
101,26083,##tul,,,0,0,0,7.753126,3.770269,-1.2985411,5.867509,9.329637
101,10280,##ia,,,0,0,0,6.902351,3.682821,-1.6421107,6.0345283,9.27326
101,10164,al,,,0,0,0,-6.6719036,12.577982,4.7547398,0.38003963,1.3552178
101,20989,aire,,,0,0,0,1.6018339,4.056537,0.9686332,2.9067564,2.981029
101,17786,libre,,.,0,0,3,0.95420456,3.7613246,0.6936926,0.41356486,2.7360818
102,11392,desde,,,1,0,0,10.23169,11.244179,-6.4286036,1.7162142,9.6015625
102,10109,la,,,0,0,0,5.0544677,10.717748,12.78043,6.947237,1.2791257
102,19657,plaza,,,0,0,0,1.8717855,2.851587,-0.361353,2.89055,3.5583797
102,11005,fu,,,0,0,0,13.433912,8.889713,7.152676,6.52847,-2.048753
102,75086,##imos,,,0,0,0,-0.6335215,5.847197,6.2110157,4.563917,-2.4883473
102,169,a,,,0,0,0,1.5768521,8.344334,-1.1898521,-2.3447146,-6.041869
102,10109,la,,,0,0,0,5.1475716,10.585021,12.713183,7.037708,1.4459735
102,76437,mall,,,1,0,0,5.2695913,10.661658,11.8221035,6.1152196,0.9522559
102,10667,##or,,,1,0,0,6.1404004,2.3779726,6.552699,3.6969814,9.319375
102,62068,##quina,,",",1,0,4,5.7367306,1.0076598,2.6498604,9.078111,10.703655
102,22873,bon,,,0,0,0,-0.5349323,3.2838037,1.270176,1.778152,3.242305
102,12390,##ito,,,0,0,0,5.63204,10.710167,3.988487,12.280872,8.824274
102,34551,café,,,0,0,0,1.9775238,3.567025,0.50178176,1.7393472,3.007089
102,10121,que,,,0,0,0,11.411725,-5.098093,5.7443624,3.4462533,1.946639
102,25235,hoy,,,0,0,0,3.3769534,-4.096111,6.335457,11.9161,9.099497
102,11559,está,,,0,0,0,3.4550734,5.864148,2.1322157,4.5301137,1.3133129
102,10104,de,,,0,0,0,9.067215,2.0014658,1.8000636,14.745622,-0.9755853
102,38231,moda,,,0,0,0,0.98430294,3.6714475,0.6463541,0.9016642,2.241489
102,193,y,,,0,0,0,-1.9789503,4.260758,5.1466517,9.999617,14.812365
102,10121,que,,,0,0,0,11.245724,-5.2157636,5.67296,3.493739,2.1725843
102,10173,con,,,0,0,0,2.135985,5.1026673,-2.7585967,14.145027,3.6471126
102,86847,justicia,,,0,0,0,1.495783,3.8152997,0.5662878,2.5342884,3.2078798
102,22336,mere,,,0,0,0,-2.016284,12.9766445,7.7027187,0.9159228,11.745342
102,10419,##ce,,,0,0,0,3.1125376,5.053407,3.8754158,8.677035,-2.8072379
